num	type	reportname	dbname	person	committee	bill
264	TO  RENDER  NATIONALS  OF  DENMARK  ELIGIBLE  TO  ENTER  THE  UNITED  STATES  AS  NONIMMIGRANT  TRADERS  AND  INVESTORS	house	hr251	109	SENSENBRENNER	Committee on the Judiciary	H.R. 3647
265	PITKIN  COUNTY  LAND  EXCHANGE  ACT  OF  2005	house	hr252	109	POMBO	Committee on Resources	H.R. 1129
266	PROVIDING  FOR  CONSIDERATION  OF  H.R.  420,  LAWSUIT  ABUSE  REDUCTION  ACT  OF  2005	house	hr253	109	GINGREY	Committee on Rules	H. Res. 508
267	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1461,  FEDERAL  HOUSING  FINANCE  REFORM  ACT  OF  2005	house	hr254	109	SESSIONS	Committee on Rules	H. Res. 509
268	MAKING  APPROPRIATIONS  FOR  AGRICULTURE,  RURAL  DEVELOPMENT,  FOOD  AND  DRUG  ADMINISTRATION,  AND  RELATED  AGENCIES  PROGRAMS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr255	109	BONILLA	committee of conference	H.R. 2744
269	DEPARTMENT  OF  VETERANS  AFFAIRS  INFORMATION  TECHNOLOGY  MANAGEMENT  IMPROVEMENT  ACT  OF  2005	house	hr256	109	BUYER	Committee on Veterans	H.R. 4061
270	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  2744,  AGRICULTURE,  RURAL  DEVELOPMENT,  FOOD  AND  DRUG  ADMINISTRATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  FY  2006	house	hr257	109	PUTNAM	Committee on Rules	H. Res. 520
271	REQUESTING  THAT  THE  PRESIDENT  TRANSMIT  TO  THE  HOUSE  OF  REPRESENTATIVES  INFORMATION  IN  HIS  POSSESSION  RELATING  TO  CONTRACTS  FOR  SERVICES  OR  CONSTRUCTION  RELATED  TO  HURRICANE  KATRINA  RECOVERY  THAT  RELATE  TO  WAGES  AND  BENEFITS  TO  BE  PAID  TO  WORKERS	house	hr258	109	BOEHNER	Committee on Education and the Workforce	H. Res. 467
272	SENATOR  PAUL  SIMON  WATER  FOR  THE  POOR  ACT  OF  2005	house	hr260	109	HYDE	Committee on International Relations	H.R. 1973
273	STOPP  ACT  OF  2005	house	hr261p1	109	GOODLATTE	Committee on Agriculture	H.R. 3405
274	PRIVATE  PROPERTY  RIGHTS  PROTECTION  ACT  OF  2005	house	hr262	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4128
275	PRIVATE  PROPERTY  RIGHTS  PROTECTION  ACT  OF  2005	house	hr262p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4128
276	VETERANS  HOUSING  AND  EMPLOYMENT  IMPROVEMENT  ACT  OF  2005	house	hr263	109	BUYER	Committee on Veterans	H.R. 3665
277	R  E  P  O  R  T  ON  THE  REVISED  SUBALLOCATION  OF  BUDGET  ALLOCATIONS  FOR  FISCAL  YEAR  2006  SUBMITTED  BY  MR.  LEWIS  OF  CALIFORNIA,  CHAIRMAN,  COMMITTEE  ON  APPROPRIATIONS	house	hr264	109	LEWIS of California	Committee on Appropriations	
278	MAKING  APPROPRIATIONS  FOR  FOREIGN  OPERATIONS,  EXPORT  FINANCING,  AND  RELATED  PROGRAMS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr265	109	KOLBE	committee of conference	H.R. 3057
279	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4128,  PRIVATE  PROPERTY  RIGHTS  PROTECTION  ACT  OF  2005	house	hr266	109	GINGREY	Committee on Rules	H. Res. 527
280	2005  DISTRICT  OF  COLUMBIA  OMNIBUS  AUTHORIZATION  ACT	house	hr267	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 3508
281	SUPPLY  OUR  SOLDIERS  ACT  OF  2005	house	hr268	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 923
282	RESOLUTION  OF  INQUIRY  RELATING  TO  CONTRACTS  FOR  SERVICES  OR  CONSTRUCTION  RELATED  TO  HURRICANE  KATRINA  RECOVERY	house	hr269	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Res. 488
283	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  3057,  FOREIGN  OPERATIONS,  EXPORT  FINANCING,  AND  RELATED  PROGRAMS  APPROPRIATIONS  ACT,  2006	house	hr270	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 532
284	SECURE  ACCESS  TO  JUSTICE  AND  COURT  PROTECTION  ACT  OF  2005	house	hr271	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1751
285	MAKING  APPROPRIATIONS  FOR  SCIENCE,  THE  DEPARTMENTS  OF  STATE,  JUSTICE,  AND  COMMERCE,  AND  RELATED  AGENCIES  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr272	109	WOLF	committee of conference	H.R. 2862
286	PUBLIC  LANDS  CORPS  HEALTHY  FORESTS  RESTORATION  ACT  OF  2005	house	hr273p1	109	POMBO	Committee on Resources	H.R. 2875
287	NATIONAL  FLOOD  INSURANCE  PROGRAM  FURTHER  ENHANCED  BORROWING  AUTHORITY  ACT  OF  2005	house	hr274	109	OXLEY	Committee on Financial Services	H.R. 4133
288	MAKING  APPROPRIATIONS  FOR  ENERGY  AND  WATER  DEVELOPMENT  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr275	109	HOBSON	committee of conference	H.R. 2419
289	DEFICIT  REDUCTION  ACT  OF  2005	house	hr276	109	NUSSLE	Committee on the Budget	H.R. 4241
290	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  2862,  SCIENCE,  STATE,  JUSTICE,  COMMERCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr277	109	GINGREY	Committee on Rules	H. Res. 538
291	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  2419,  ENERGY  AND  WATER  DEVELOPMENT  APPROPRIATIONS  ACT,  2006	house	hr278	109	HASTINGS of Washington	Committee on Rules	H. Res. 539
292	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1751,  SECURE  ACCESS  TO  JUSTICE  AND  COURT  PROTECTION  ACT  OF  2005	house	hr279	109	GINGREY	Committee on Rules	H. Res. 540
293	AMTRAK  REAUTHORIZATION  ACT  OF  2005	house	hr280	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 1630
294	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4241,  DEFICIT  REDUCTION  ACT  OF  2005	house	hr281	109	PUTNAM	Committee on Rules	H. Res. 542
295	HURRICANES  RITA  AND  WILMA  FINANCIAL  SERVICES  RELIEF  ACT  OF  2005	house	hr282	109	OXLEY	Committee on Financial Services	H.R. 4146
296	EXPRESSING  THE  SENSE  OF  THE  CONGRESS  UPHOLDING  THE  MAKAH  TRIBE  TREATY  RIGHTS	house	hr283	109	POMBO	Committee on Resources	H. Con. Res. 267
297	TO  REDESIGNATE  THE  ELLIS  ISLAND  LIBRARY  ON  THE  THIRD  FLOOR  OF  THE  ELLIS  ISLAND  IMMIGRATION  MUSEUM,  LOCATED  ON  ELLIS  ISLAND  IN  NEW  YORK  HARBOR,  AS  THE  `BOB  HOPE  MEMORIAL  LIBRARY'	house	hr284	109	POMBO	Committee on Resources	H.R. 323
298	CONVEYANCE  TO  BEAVER  COUNTY,  UTAH	house	hr285	109	POMBO	Committee on Resources	H.R. 679
299	COMMEMORATING  THE  LITE,  OR  LIFETIME  INNOVATIONS  OF  THOMAS  EDISON	house	hr286	109	POMBO	Committee on Resources	H.R. 1096
300	TO  REMOVE  CERTAIN  USE  RESTRICTIONS  ON  PROPERTY  LOCATED  IN  NAVAJO  COUNTY,  ARIZONA	house	hr287	109	POMBO	Committee on Resources	H.R. 1436
301	YAKIMA-TIETON  IRRIGATION  DISTRICT  CONVEYANCE  ACT  OF  2005	house	hr288	109	POMBO	Committee on Resources	H.R. 1564
302	FRANKLIN  NATIONAL  BATTLEFIELD  STUDY  ACT	house	hr289	109	POMBO	Committee on Resources	H.R. 1972
303	TO  DIRECT  THE  SECRETARY  OF  THE  INTERIOR  TO  CONVEY  CERTAIN  WATER  DISTRIBUTION  FACILITIES  TO  THE  NORTHERN  COLORADO  WATER  CONSERVANCY  DISTRICT	house	hr290	109	POMBO	Committee on Resources	H.R. 3443
304	REQUESTING  THE  PRESIDENT  OF  THE  UNITED  STATES  AND  DIRECTING  THE  SECRETARY  OF  STATE  TO  PROVIDE  TO  THE  HOUSE  OF  REPRESENTATIVES  CERTAIN  DOCUMENTS  IN  THEIR  POSSESSION  RELATING  TO  THE  WHITE  HOUSE  IRAQ  GROUP	house	hr291	109	HYDE	Committee on International Relations	H. Res. 505
305	COASTAL  RECREATION  WATER  QUALITY  MONITORING  AND  NOTIFICATION	house	hr292	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 1721
306	LONG  ISLAND  SOUND  AUTHORIZATION  OF  APPROPRIATIONS	house	hr293	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 3963
307	TO  AMEND  THE  YUMA  CROSSING  NATIONAL  HERITAGE  AREA  ACT  OF  2000  TO  ADJUST  THE  BOUNDARY  OF  THE  YUMA  CROSSING  NATIONAL  HERITAGE  AREA	house	hr294	109	POMBO	Committee on Resources	H.R. 326
308	PROVIDLNG  FOR  CONSIDERATION  OF  H.R.  1065,  UNITED  STATES  BOXING  COMMISSION  ACT	house	hr295	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 553
309	RESOLUTION  OF  INQUIRY  REQUESTING  THE  PRESIDENT  OF  THE  UNITED  STATES  TO  PROVIDE  TO  THE  HOUSE  OF  REPRESENTATIVES  CERTAIN  DOCUMENTS  IN  HIS  POSSESSION  RELATING  TO  THE  ANTICIPATED  EFFECTS  OF  CLIMATE  CHANGE  ON  THE  COASTAL  REGIONS  OF  THE  UNITED  STATES	house	hr296	109	BOEHLERT	Committee on Science	H. Res. 515
310	TO  AUTHORIZE  THE  SECRETARY  OF  THE  INTERIOR  TO  CONSTRUCT  FACILITIES  TO  PROVIDE  WATER  FOR  IRRIGATION,  MUNICIPAL,  DOMESTIC,  MILITARY,  AND  OTHER  USES  FROM  THE  SANTA  MARGARITA  RIVER,  CALIFORNIA,  AND  FOR  OTHER  PURPOSES	house	hr297p1	109	POMBO	Committee on Resources	H.R. 125
311	NATIVE  AMERICAN  TECHNICAL  CORRECTIONS  ACT  OF  2005	house	hr298p1	109	POMBO	Committee on Resources	H.R. 3351
312	METHAMPHETAMINE  EPIDEMIC  ELIMINATION  ACT	house	hr299p1	109	SENSENBRENNER	Committee on the Judiciary	H.R. 3889
313	METHAMPHETAMINE  EPIDEMIC  ELIMINATION  ACT	house	hr299p2	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 3889
314	MAKING  APPROPRIATIONS  FOR  THE  DEPARTMENTS  OF  LABOR,  HEALTH  AND  HUMAN  SERVICES,  AND  EDUCATION,  AND  RELATED  AGENCIES  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr300	109	REGULA	committee of conference	H.R. 3010
315	PROVIDING  FOR  CONSIDERATION  OF  THE  JOINT  RESOLUTION  (H.J.  RES.  72)  MAKING  FURTHER  CONTINUING  APPROPRIATIONS  FOR  THE  FISCAL  YEAR  2006,  AND  FOR  OTHER  PURPOSES	house	hr301	109	PUTNAM	Committee on Rules	H. Res. 558
316	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  3010,  DEPARTMENTS  OF  LABOR,  HEALTH  AND  HUMAN  SERVICES,  AND  EDUCATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr302	109	CAPITO	Committee on Rules	H. Res. 559
317	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4241,  DEFICIT  REDUCTION  ACT  OF  2005	house	hr303	109	PUTNAM	Committee on Rules	H. Res. 560
318	TAX  RELIEF  EXTENSION  RECONCILIATION  ACT  OF  2005	house	hr304	109	THOMAS	Committee on Ways and Means	H.R. 4297
319	MAKING  APPROPRIATIONS  FOR  MILITARY  QUALITY  OF  LIFE  FUNCTIONS  OF  THE  DEPARTMENT  OF  DEFENSE,  MILITARY  CONSTRUCTION,  THE  DEPARTMENT  OF  VETERANS  AFFAIRS,  AND  RELATED  AGENCIES  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr305	109	WALSH	Committee of Conference	H.R. 2528
320	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr306	109	GINGREY	Committee on Rules	H. Res. 563
321	MAKING  APPROPRIATIONS  FOR  THE  DEPARTMENTS  OF  TRANSPORTATION,  TREASURY,  AND  HOUSING  AND  URBAN  DEVELOPMENT,  THE  JUDICIARY,  DISTRICT  OF  COLUMBIA,  AND  INDEPENDENT  AGENCIES  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr307	109	KNOLLENBERG	committee of conference	H.R. 3058
322	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  2528,  MILITARY  QUALITY  OF  LIFE  AND  VETERANS  AFFAIRS  APPROPRIATIONS  ACT,  2006	house	hr308	109	GINGREY	Committee on Rules	H. Res. 564
323	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  3058,  DEPARTMENTS  OF  TRANSPORTATION,  TREASURY,  HOUSING  AND  URBAN  DEVELOPMENT,  THE  JUDICIARY,  THE  DISTRICT  OF  COLUMBIA,  AND  INDEPENDENT  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr309	109	LINCOLN DIAZ-BALART of Florida	Committee on Rules	H. Res. 565
324	INVESTIGATION  INTO  RAFAEL  PALMEIRO'S  MARCH  17,  2005  TESTIMONY  AT  THE  COMMITTEE  ON  GOVERNMENT  REFORM'S  HEARING:  `RESTORING  FAITH  IN  AMERICA'S  PASTIME:  EVALUATING  MAJOR  LEAGUE  BASEBALL'S  EFFORTS  TO  ERADICATE  STEROID  USE'	house	hr310	109	TOM DAVIS	Committee on Government Reform submitted the following	
325	ALBUQUERQUE  BIOLOGICAL  PARK  TITLE  CLARIFICATION  ACT	house	hr311	109	POMBO	Committee on Resources	S. 229
326	PROVIDING  FOR  CONSIDERATION  OF  H.  RES.  571,  EXPRESSING  THE  SENSE  OF  THE  HOUSE  OF  REPRESENTATIVES  THAT  THE  DEPLOYMENT  OF  UNITED  STATES  FORCES  IN  IRAQ  BE  TERMINATED  IMMEDIATELY,  AND  PROVIDING  FOR  CONSIDERATION  OF  H.  CON.  RES.  308,  DIRECTING  THE  CLERK  OF  THE  HOUSE  OF  REPRESENTATIVES  TO  MAKE  A  TECHNICAL  CORRECTION  IN  THE  ENROLLMENT  OF  H.R.  3058	house	hr312	109	GINGREY	Committee on Rules	H. Res. 572
327	CLARIFICATION  OF  FEDERAL  EMPLOYMENT  PROTECTIONS  ACT	house	hr313	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 3128
328	RAIL  INFRASTRUCTURE  DEVELOPMENT  AND  EXPANSION  ACT  FOR  THE  21ST  CENTURY	house	hr314p1	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 1631
329	RAIL  INFRASTRUCTURE  DEVELOPMENT  AND  EXPANSION  ACT  FOR  THE  21ST  CENTURY	house	hr314p2	109	THOMAS	Committee on Ways and Means	H.R. 1631
330	OFFICE  OF  NATIONAL  DRUG  CONTROL  POLICY  REAUTHORIZATION  ACT  OF  2005	house	hr315p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 2829
331	OFFICE  OF  NATIONAL  DRUG  CONTROL  POLICY  REAUTHORIZATION  ACT  OF  2005	house	hr315p2	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 2829
332	OFFICE  OF  NATIONAL  DRUG  CONTROL  POLICY  REAUTHORIZATION  ACT  OF  2005	house	hr315p3	109	SENSENBRENNER	Committee on the Judiciary	H.R. 2829
333	FEDERAL  AND  DISTRICT  OF  COLUMBIA  GOVERNMENT  REAL  PROPERTY  ACT  OF  2005	house	hr316p1	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 3699
334	FEDERAL  AND  DISTRICT  OF  COLUMBIA  GOVERNMENT  REAL  PROPERTY  ACT  OF  2005	house	hr316p2	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 3699
335	FEDERAL  AND  DISTRICT  OF  COLUMBIA  GOVERNMENT  REAL  PROPERTY  ACT  OF  2005	house	hr316p3	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 3699
336	TRAFFICKING  VICTIMS  PROTECTION  REAUTHORIZATION  ACT  OF  2005	house	hr317p1	109	HYDE	Committee on International Relations	H.R. 972
337	TRAFFICKING  VICTIMS  PROTECTION  REAUTHORIZATION  ACT  OF  2005	house	hr317p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 972
338	UNITED  STATES-BAHRAIN  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT	house	hr318	109	THOMAS	Committee on Ways and Means	H.R. 4340
339	TO  AUTHORIZE  THE  SECRETARY  OF  THE  INTERIOR  TO  CONDUCT  A  STUDY  TO  DETERMINE  THE  SUITABILITY  AND  FEASIBILITY  OF  DESIGNATING  THE  SOLDIERS'  MEMORIAL  MILITARY  MUSEUM  LOCATED  IN  ST.  LOUIS,  MISSOURI,  AS  A  UNIT  OF  THE  NATIONAL  PARK  SYSTEM	house	hr319	109	POMBO	Committee on Resources	H.R. 452
340	ACCESS  TO  NAVASSA  AND  DESECHEO  NATIONAL  WILDLIFE  REFUGES	house	hr320	109	POMBO	Committee on Resources	H.R. 1183
341	SAN  DIEGO  WATER  STORAGE  AND  EFFICIENCY  ACT  OF  2005	house	hr321	109	POMBO	Committee on Resources	H.R. 1190
342	TO  AUTHORIZE  THE  SECRETARY  OF  THE  INTERIOR  TO  DESIGNATE  THE  PRESIDENT  WILLIAM  JEFFERSON  CLINTON  BIRTHPLACE  HOME  IN  HOPE,  ARKANSAS,  AS  A  NATIONAL  HISTORIC  SITE  AND  UNIT  OF  THE  NATIONAL  PARK  SYSTEM,  AND  FOR  OTHER  PURPOSES	house	hr322	109	POMBO	Committee on Resources	H.R. 4192
343	SOUTHERN  OREGON  BUREAU  OF  RECLAMATION  REPAYMENT  ACT  OF  2005	house	hr323	109	POMBO	Committee on Resources	H.R. 4195
344	TO  AMEND  PUBLIC  LAW  107-153  TO  FURTHER  ENCOURAGE  THE  NEGOTIATED  SETTLEMENT  OF  TRIBAL  CLAIMS	house	hr324	109	POMBO	Committee on Resources	H.R. 4292
345	FOREST  SERVICE  PARTNERSHIP  ENHANCEMENT  ACT  OF  2005	house	hr325p1	109	POMBO	Committee on Resources	H.R. 3818
346	HURRICANE  CHECK  CASHING  RELIEF  ACT  OF  2005	house	hr326	109	OXLEY	Committee on Financial Services	H.R. 3909
347	TERRORISM  RISK  INSURANCE  REVISION  ACT  OF  2005	house	hr327	109	OXLEY	Committee on Financial Services	H.R. 4314
348	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4340,  UNITED  STATES-BAHRAIN  FREE  TRADE  AGREEMENT  IMPLEMENTATION  ACT	house	hr328	109	HASTINGS of Washington	Committee on Rules	H. Res. 583
349	BORDER  SECURITY  AND  TERRORISM  PREVENTION  ACT  OF  2005	house	hr329p1	109	KING of New York	Committee on Homeland Security	H.R. 4312
350	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4297,  TAX  RELIEF  EXTENSION  RECONCILIATION  ACT  OF  2005	house	hr330	109	PUTNAM	Committee on Rules	H. Res. 588
351	JIM  WEAVER  NATIONAL  RECREATION  TRAIL  IN  THE  WILLAMETTE  NATIONAL  FOREST,  OREGON	house	hr331	109	POMBO	Committee on Resources	H.R. 1090
352	MARINE  DEBRIS  RESEARCH,  PREVENTION,  AND  REDUCTION  ACT	house	hr332p1	109	POMBO	Committee on Resources	S. 362
353	MARINE  DEBRIS  RESEARCH,  PREVENTION,  AND  REDUCTION  ACT	house	hr332p2	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	S. 362
354	USA  PATRIOT  IMPROVEMENT  AND  REAUTHORIZATION  ACT  OF  2005	house	hr333	109	SENSENBRENNER	committee of conference	H.R. 3199
355	DELAWARE  WATER  GAP  NATIONAL  RECREATION  AREA  NATURAL  GAS  PIPELINE  ENLARGEMENT  ACT	house	hr334	109	POMBO	Committee on Resources	H.R. 3124
356	DANA  POINT  DESALINATION  PROJECT  AUTHORIZATION  ACT	house	hr335p1	109	POMBO	Committee on Resources	H.R. 3929
357	MAKING  APPROPRIATIONS  FOR  THE  DEPARTMENTS  OF  LABOR,  HEALTH  AND  HUMAN  SERVICES,  AND  EDUCATION,  AND  RELATED  AGENCIES  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr337	109	REGULA	committee on conference	H.R. 3010
358	FRENCH  COLONIAL  HERITAGE  NATIONAL  HISTORIC  SITE  STUDY  ACT  OF  2005	house	hr338	109	POMBO	Committee on Resources	H.R. 1728
359	ARTHUR  V.  WATKINS  DAM  ENLARGEMENT  ACT  OF  2005	house	hr339	109	POMBO	Committee on Resources	H.R. 3626
360	UPPER  COLORADO  AND  SAN  JUAN  BASIN  ENDANGERED  FISH  RECOVERY  IMPLEMENTATION  PROGRAMS  REAUTHORIZATION  ACT  OF  2005	house	hr340	109	POMBO	Committee on Resources	H.R. 3153
361	SALT  CEDAR  AND  RUSSIAN  OLIVE  CONTROL  DEMONSTRATION  ACT	house	hr341p1	109	POMBO	Committee on Resources	H.R. 2720
362	SMALL  PUBLIC  HOUSING  AUTHORITY  ACT	house	hr342	109	OXLEY	Committee on Financial Services	H.R. 3422
363	WAIVING  POINTS  OF  ORDER  AGAINST  THE.  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  3199,  USA  PATRIOT  IMPROVEMENT  AND  REAUTHORIZATION  ACT  OF  2005	house	hr343	109	GINGREY	Committee on Rules	H. Res. 595
364	WAIVING  POINTS  OF  ORDER  AGAINST  THE  FURTHER  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  3010,  DEPARTMENTS  OF  LABOR,  HEALTH  AND  HUMAN  SERVICES,  AND  EDUCATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr344	109	CAPITO	Committee on Rules	H. Res. 596
365	BORDER  PROTECTION,  ANTITERRORISM,  AND  ILLEGAL  IMMIGRATION  CONTROL  ACT  OF  2005	house	hr345p1	109	SENSENBRENNER	Committee on the Judiciary	H.R. 4437
366	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2830,  PENSION  PROTECTION  ACT  OF  2005	house	hr346	109	HASTINGS of Washington	Committee on Rules	H. Res. 602
367	PROVIDING  FOR  CONSIDERATION  OF  H.R.  4437,  BORDER  PROTECTION,  ANTITERRORISM,  AND  ILLEGAL  IMMIGRATION  CONTROL  ACT  OF  2005	house	hr347	109	GINGREY	Committee on Rules	H. Res. 610
368	PROVIDING  FOR  CONSIDERATION  OF  H.  RES.  612,  EXPRESSING  THE  COMMITMENT  OF  THE  HOUSE  OF  REPRESENTATIVES  TO  ACHIEVING  VICTORY  IN  IRAQ	house	hr348	109	COLE	Committee on Rules	H. Res. 619
369	WAIVING  A  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr349	109	PUTNAM	Committee on Rules	H. Res. 620
370	PROVIDING  FOR  FURTHER  CONSIDERATION  OF  H.R.  4437,  BORDER  PROTECTION,  ANTITERRORISM,  AND  ILLEGAL  IMMIGRATION  CONTROL  ACT  OF  2005	house	hr350	109	GINGREY	Committee on Rules	H. Res. 621
371	REQUESTING  THE  PRESIDENT  OF  THE  UNITED  STATES  PROVIDE  TO  THE  HOUSE  OF  REPRESENTATIVES  ALL  DOCUMENTS  IN  HIS  POSSESSION  RELATING  TO  HIS  OCTOBER  7,  2002,  SPEECH  IN  CINCINNATI,  OHIO,  AND  HIS  JANUARY  28,  2003,  STATE  OF  THE  UNION  ADDRESS	house	hr351	109	HYDE	Committee on International Relations	H. Res. 549
372	THE  METHAMPHETAMINE  EPIDEMIC:  INTERNATIONAL  ROOTS  OF  THE  PROBLEM,  AND  RECOMMENDED  SOLUTIONS	house	hr352	109	DAVIS	Committee on Government Reform submitted the following	
373	NATIONAL  AERONAUTICS  AND  SPACE  ADMINISTRATION  AUTHORIZATION  ACT  OF  2005	house	hr354	109	BOEHLERT	Committee on Conference	S. 1281
374	PROVIDING  FOR  CONSIDERATION  OF  MOTIONS  TO  SUSPEND  THE  RULES	house	hr355	109	SESSIONS	Committee on Rules	H. Res. 623
375	FINANCIAL  SERVICES  REGULATORY  RELIEF  ACT  OF  2005	house	hr356p1	109	OXLEY	Committee on Financial Services	H.R. 3505
376	FINANCIAL  SERVICES  REGULATORY  RELIEF  ACT  OF  2005	house	hr356p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 3505
377	PROVIDING  FOR  CONSIDERATION  OF  MOTIONS  TO  SUSPEND  THE  RULES	house	hr357	109	SESSIONS	Committee on Rules	H. Res. 631
378	WAIVING  REQUIREMENT  OF  CLAUSE  6(A)  OF  RULE  XIII  WITH  RESPECT  TO  THE  SAME  DAY  CONSIDERATION  OF  CERTAIN  RESOLUTIONS  REPORTED  BY  THE  RULES  COMMITTEE	house	hr358	109	PUTNAM	Committee on Rules	H. Res. 632
379	MAKING  APPROPRIATIONS  FOR  THE  DEPARTMENT  OF  DEFENSE  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr359	109	YOUNG of Florida	committee of conference	H.R. 2863
380	NATIONAL  DEFENSE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr360	109	HUNTER	committee of conference	H.R. 1815
381	WAIVING  POINTS  TO  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  2863,  DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  ACT,  2006	house	hr361	109	COLE	Committee on Rules	H. Res. 639
382	DEFICIT  REDUCTION  ACT  OF  2005	house	hr362	109	NUSSLE	committee of conference	S. 1932
383	WAIVING  POINTS  OR  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  (S.  1932)  TO  PROVIDE  FOR  RECONCILIATION  PURSUANT  TO  SECTION  201(A)  OF  THE  CONCURRENT  RESOLUTION  ON  THE  BUDGET  FOR  FISCAL  YEAR  2006	house	hr363	109	PUTNAM	Committee on Rules	H. Res. 640
384	GULF  COAST  RECOVERY  ACT  OF  2005	house	hr364	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 4438
